,,,Fullname,Website (or alternative listing like Facebook or health engine),Profession/Key Qualification/s
,,,Anne Louise Thorbecke,https://www.yarravillehealth.com.au/,Psychologist
,,,Ben  Callegari,www.psychology.melbourne,Psychologist
,,,Chris Cheers,www.chrischeers.com,Psychologist
,,,Chris Pepping,http://heartmatterspsychology.com/,Psychologist
,,,Cindy Hsiao,https://www.solutionpsychology.com.au/,Psychologist
,,,David Demmer,www.qpsychology.com.au,Psychologist
,,,Faustina Delany,https://pcpsychology.com.au/,Psychologist
,,,Ganesh  Ilango ,https://newviewpsychology.com.au/clinicians/mr-ganesh-ilango/,Psychologist
,,,Grace Blucher,https://www.psychologytoday.com/au/counselling/3065/469539?sid=5e71e459527c9&ref=1&tr=ResultsRow,Psychologist
,,,Isaac Lee,functionalminds.com.au,Psychologist
,,,Ishita Garg,https://www.socialstructuresalliedhealth.com.au/,Psychologist
,,,Ishma  Alvi,https://vidapsychology.com.au/,Psychologist
,,,Jacques Rizk,www.heartmatterspsychology.com,Psychologist
,,,Jamie Byrne,http://jamiebyrnepsych.com/,Psychologist
,,,Jayda Akder,www.prahranmarketclinic.com,Psychologist
,,,Jennifer Dix,www.alignpsychology.com.au,Psychologist
,,,Jessica Murphy,http://www.birchpsychology.com.au/dr-jess-murphy-clinical-psychologist-alphington,Psychologist
,,,Jonathan Tandos,www.jonathantandos.com,Psychologist
,,,Julian Motha,https://www.halaxy.com/profile/julian-motha/psychologist/1083411,Psychologist
,,,July Lies,www.excellencepsychology.com.au,Psychologist
,,,Kah Yan (Jasmine) Loo,https://www.jasmineloopsychology.com/,Psychologist
,,,Leigh Elliott,www.symmetrymentalhealth.com,Psychologist
,,,Liam Casey,https://www.drliamcasey.com/,Psychologist
,,,Lil Desille,www.ownyourmental.com,Psychologist
,,,Liz Gladwin,lizgladwin.com.au,Psychologist
,,,Lumen (Laura) Gorrie,www.lgpsychology.net,Psychologist
,,,Marie Camin,https://www.mariecamin.com,Psychologist
,,,Melissa Lagozzino,https://newdoorpsychology.com.au/,Psychologist
,,,Michal Klein,https://www.wattletreepsychology.com.au/our-team/michal-klein/,Psychologist
,,,Mikaela Smee,www.drmikaelasmee.com,Psychologist
,,,Naomi Overton,https://newdoorpsychology.com.au/,Psychologist
,,,Niamh Long,,Psychologist
,,,Peter Eide,mmpsychology.com.au,Psychologist
,,,Pip Fell,www.brainwavespsychology.com,Psychologist
,,,Rebecca Shepherd,www.psychspan.com.au,Psychologist
,,,Regan Smith,www.shipspsychology.com.au,Psychologist
,,,Robyn Ming,www.navigationpsychology.com.au,Psychologist
,,,Ruth Katerelos,https://www.psychologytoday.com/au/counselling/ruth-katerelos-preston-vic/771431,Psychologist
,,,Sabrina  Brient,https://vidapsychology.com.au,Psychologist
,,,Sarah  Schepisi,https://www.cloudpsychology.com.au,Psychologist
,,,Sarah Ashton,www.shipspsychology.com.au,Psychologist
,,,Shikha Gray,https://www.psychologymelbourne.com.au/psychologists/dr-shikha-m-gray,Psychologist
,,,Yuedda Sio,https://www.innereasternpsychology.com.au/,Psychologist
,,,Lei Gryffydd ,https://elucidatepsychology.com/,"Psychologist, Clinical Neuropsychologist (fully endorsed) "
,,,Geoffrey Hon,geoffreyhon.com,"Psychologist, Teacher"
,,,Adam Forman,https://www.halaxy.com/profile/adam-forman/counsellor/1111611,Psychotherapist
,,,Dana Swann,www.danaswanntherapy.com,Psychotherapist
,,,Fenella Hansen,https://www.between-the-lines.com.au/,Psychotherapist
,,,Freya Rose,https://www.freyarosepsych.com/,Psychotherapist
,,,Grace Lee,https://www.psychologytoday.com/au/counselling/grace-lee-fitzroy-north-vic/425141,Psychotherapist
,,,Jenna Trostle,http://spectracounselling.com,Psychotherapist
,,,Jes Anderberg,Experiential Focusing Therapy,Psychotherapist
,,,Kathomi Gatwiri ,www.healingtogethertherapy.com,Psychotherapist
,,,Liz Scarfe,https://www.cultivatingconfidence.net/,Psychotherapist
,,,Louis Spence,https://www.louisspencepsychotherapy.com/,Psychotherapist
,,,Marlee Greer,www.marleegreer.com,Psychotherapist
,,,Ru Connolly,https://www.psychologytoday.com/au/counselling/ru-connolly-fitzroy-north-vic/1006475,Psychotherapist
,,,sally boothby,sallyboothbycounselling.au,Psychotherapist
,,,Sydney Ruiz,https://acep.com.au/,Psychotherapist
,,,Todd Mills,https://www.toddmillspsychotherapy.com/,Psychotherapist
,,,Jaya Narayan,jaya-narayan.com,"Psychotherapist,  Expressive Art(s) Therapist, Psychodramatist & Somatic Practitioner"
,,,Rae Sabine,www.creatingwellbeing.com.au,"Psychotherapist, Art Therapist, Supervisor"
,,,Andrew Macdonald,www.jeffersonplace.com.au,"Psychotherapist, Counsellor"
,,,Claudia Allison,https://www.psychologytoday.com/au/counselling/claudia-allison-counselling-psychotherapy-thornbury-vic/1034573,"Psychotherapist, Counsellor"
,,,Marie August,http://marie-august.com,"Psychotherapist, Counsellor"
,,,Natalie  Browne,https://www.nataliebrownecounselling.com/,"Psychotherapist, Counsellor"
,,,Sandi Silva,www.insessioncounselling.com,"Psychotherapist, Counsellor"
,,,Gávi Ansara,http://ansarapsychotherapy.com,"Psychotherapist, Family Therapist, Relationship Counsellor, AAFT-Registered Clinical Supervisor"
,,,Kate Cooke,facebook page with business name to find it,"Psychotherapist, mental health nurse, psychodramatist, Mentalization Based Treatment therapist"
,,,Bodhi Weaver,,"Psychotherapist, Psychologist"
,,,Juniper Muller,https://www.melbournequeerpsychologist.com/,"Psychotherapist, Psychologist"
,,,Linda Kirkman,www.lindakirkman.org,"Psychotherapist, Sex therapist, researcher, sex educator"
,,,Matthew Austin,www.matthewaustincounselling.com.au,"Psychotherapist, Social Worker"
,,,Mel Jeffery,www.meljeffery.com.au,"Psychotherapist, Social Worker"
,,,Anthony Lekkas,northsidecounsellingsolutions.com,"Psychotherapist, Social Worker, Relationship Counsellor"
,,,Isabelle Stoner,www.isabellestoner.com,"Psychotherapist, Trauma Sensitive Somatics and Yoga Facilitator"
,,,Chenai Mupotsa-Russell,www.rainbowmuse.com.au,Registered Art Therapist  (ANZACATA)
,,,K Einam,clitorallyperfect.com,"Registered Nurse, Psychosexual Therapist"
,,,Niyati Evers,www.alchemy-of-eros.com,Relationship and Individual Therapy and Coaching and Supervision
,,,Kassandra Mourikis,https://www.pleasurecentredsexology.com.au,Sexologist
,,,Stacey Micallef,https://theocode.com.au/,Sexologist
,,,Esther Ogilvie,https://www.psychologytoday.com/au/counselling/esther-lena-ogilvie-carlton-north-vic/997093?preview=1&return_to=https%3A%2F%2Fmember.psychologytoday.com%2Fau%2Fhome,Social Worker
,,,Jager Corvus,website coming 2022,Social Worker
,,,Jessica  Elberg,https://mycounsellingclinic.au/,Social Worker
,,,Jodie Baker,Www.counsellinginnovations.com.au,Social Worker
,,,Lachlan Slade,https://www.sladeconsulting.services/,Social Worker
,,,Michelle Hartnett,https://thetherapyhub.com.au/,Social Worker
,,,Ruairi Gallagher,https://www.austin.org.au/northerncasa,Social Worker
,,,Tammy Moran,www.wholebeinghealthcollective.com.au,Social Worker
,,,Marie Vakakis,https://www.thetherapyhub.com.au,"Social Worker, Family Therapist"
,,,Anne Robertson,https://annemrobertsoncounselling.vpweb.com.au/,"Social Worker, Family Therapist, Counsellor, Adolescent Health, EMDR"
,,,Andy Allen,prideworthy.com.au,"Social Worker, Sex Therapist "
,,,Lisa  Torney ,www.lisatorney.com.au,"Social Worker, Sex Therapist "
,,,Lorraine Pentello,https://lorrainepentello.com/,Somatic Sex Coach/EMDR Therapist/Sexological Bodyworker
